"1,111,111,111"
"0,0"
"8,220,282,257"
"110,723,111,976"
"110,799,112,028"
"110,766,112,015"
"110,786,111,992"
"110,661,111,973"
"110,783,111,990"
"110,878,111,971"
"110,852,112,029"
"110,863,112,017"
"110,756,111,970"
"110,868,112,010"
"110,939,112,054"
"110,942,112,036"
"110,952,112,028"
"110,892,112,033"
"110,960,112,060"
"111,091,112,124"
"111,051,112,084"
"111,034,112,052"
"110,978,112,078"
"111,058,112,086"
"111,139,112,138"
"111,087,112,084"
"111,158,112,088"
"111,063,112,066"
"111,100,112,098"
"111,254,112,133"
"111,190,112,175"
"111,165,112,076"
"111,091,112,076"
"111,201,112,162"
"111,279,112,136"
"111,255,112,155"
"111,270,112,096"
"111,141,112,127"
"111,239,112,152"
"111,327,112,197"
"111,313,112,174"
"111,330,112,156"
"111,218,112,125"
"111,336,112,151"
"111,423,112,233"
"111,413,112,210"
"111,378,112,179"
"111,322,112,127"
"111,419,112,234"
"111,459,112,199"
"111,479,112,200"
"111,392,112,177"
"111,275,112,154"
"111,317,112,153"
"111,334,112,170"
"111,260,112,125"
"111,106,112,024"
"110,930,111,985"
"110,922,111,940"
"110,884,111,973"
"110,726,111,873"
"110,607,111,778"
"110,423,111,717"
"110,404,111,703"
"110,386,111,748"
"110,342,111,684"
"110,218,111,649"
"110,076,111,560"
"110,112,111,596"
"110,177,111,644"
"110,075,111,624"
"110,091,111,564"
"109,961,111,516"
"110,067,111,534"
"110,096,111,619"
"110,047,111,564"
"109,999,111,480"
"109,912,111,486"
"110,028,111,517"
"110,059,111,584"
"110,013,111,511"
"110,018,111,495"
"109,930,111,524"
"110,041,111,533"
"110,087,111,625"
"110,046,111,566"
"110,053,111,549"
"110,010,111,546"
"110,143,111,575"
"110,165,111,647"
"110,205,111,614"
"110,176,111,627"
"110,133,111,612"
"110,259,111,623"
"110,302,111,691"
"110,347,111,693"
"110,322,111,645"
"110,300,111,658"
"110,398,111,739"
"110,468,111,729"
"110,481,111,771"
"110,479,111,702"
"110,401,111,746"
"110,542,111,749"
"110,595,111,842"
"110,618,111,795"
"110,606,111,820"
"110,505,111,796"
"110,697,111,834"
"110,711,111,868"
"110,679,111,859"
"110,704,111,819"
"110,629,111,825"
"110,725,111,884"
"110,748,111,864"
"110,741,111,829"
"110,699,111,844"
"110,587,111,796"
"110,669,111,865"
"110,717,111,830"
"110,697,111,856"
"110,611,111,748"
"110,506,111,762"
"110,638,111,791"
"110,608,111,788"
"110,594,111,764"
"110,261,111,666"
"110,597,111,794"
"110,611,111,750"
"110,811,111,834"
"110,843,111,861"
"110,848,111,815"
"110,260,111,541"
"110,314,111,577"
"110,262,111,544"
"110,141,111,513"
"109,768,111,312"
"109,661,111,312"
"109,606,111,230"
"109,732,111,312"
"109,810,111,338"
"109,751,111,337"
"109,671,111,252"
"109,633,111,256"
"109,731,111,340"
"109,775,111,310"
"109,778,111,345"
"109,704,111,261"
"109,673,111,292"
