Indices,A8_ECG
503,-14259.352122097422
504,-16656.239484258025
505,-19049.394626641457
506,-21447.783847264127
507,-23944.623536149265
508,-26541.35978665101
509,-29198.77061646534
510,-31940.225198346372
511,-34698.7348688276
512,-37469.788115023475
513,-40306.10297621003
514,-43192.80162616366
515,-45737.80621565042
516,-47906.86656615592
517,-49872.8363845718
518,-51523.219224165354
519,-53095.226957464525
520,-54596.06637180701
521,-55804.471862110295
522,-56763.19743152631
523,-57734.2371091166
524,-58707.15676311642
525,-59578.525913448655
526,-60407.26507528913
527,-60972.13465574476
528,-61254.4498750494
529,-61408.32433734459
530,-61379.56519357743
531,-61454.9166104238
532,-61675.391271076114
533,-61863.32365439777
534,-62101.82364375181
535,-62255.77622140893
536,-62310.68368393027
537,-62407.174744729
538,-62517.34749649349
539,-62370.297446847006
540,-61961.03918415215
541,-61401.41739015949
542,-60622.76507689841
543,-59818.67329827994
544,-59001.07505816067
545,-58015.967454955804
546,-56905.49370856898
547,-55932.413173502435
548,-55105.12257539837
549,-54329.46433002935
550,-53676.24004235146
551,-52955.98605357648
552,-52163.53395711755
553,-51456.51201383754
554,-50798.26513902124
555,-50053.64199264123
556,-49231.83973503099
557,-48375.40205547449
558,-47454.32557444187
559,-46593.702317815274
560,-45801.66286858863
561,-44993.22286825169
562,-44198.009496789295
563,-43180.195159117335
564,-41908.91901444668
565,-40517.773589935525
566,-38938.06649697431
567,-37287.236189945965
568,-35574.2778043838
569,-33678.971646041915
570,-31623.882825321718
571,-29609.50790011931
572,-27636.0177538363
573,-25620.229050625006
574,-23611.0015534445
575,-21457.808250066995
576,-19149.676855660564
577,-16801.02357923566
578,-14377.35688200362
579,-12198.096215549453
580,-10308.064195392104
581,-8532.652592633132
582,-6967.5382850155565
583,-5456.140656147025
584,-3989.9534354704097
585,-2735.1076743508115
586,-1664.2954994145898
587,-505.1523413883188
588,739.6836855195194
589,1952.3080219262806
590,3196.798525123155
591,4263.4062655794305
592,5133.865847386475
593,5962.224782459174
594,6697.985681901979
595,7517.3650736682575
596,8452.107246928525
597,9380.489884444405
598,10355.236082056426
599,11306.516422387314
600,12224.50145187987
601,13190.782823539399
602,14190.974501185818
603,15033.618555166551
604,15713.25661835297
605,16312.593261220081
606,16782.617515942613
607,17255.23204982107
608,17739.028247897062
609,18127.067306973026
610,18448.017051539562
611,18994.25479901977
612,19782.5992792448
613,20695.669109820272
614,21814.373724748795
615,22944.16973201259
616,24078.99835854706
617,25388.699530071553
618,26836.40622128521
619,28250.246089559612
620,29638.90296133914
621,31063.390506746295
622,32484.99508142984
623,34054.49010179367
624,35782.84338806645
625,37565.63346553559
626,39438.913996357405
627,41168.79147432982
628,42722.94319780724
629,44239.18592685181
630,45649.26691806975
631,47065.97838829354
632,48499.206619232194
633,49831.72475784973
634,51085.6300823654
635,52469.37938917291
636,53984.57729013686
637,55544.37315160857
638,57200.28015949608
639,58798.87304421001
640,60329.43094477207
641,61910.5029991064
642,63507.474886407654
643,64873.62015192515
644,65996.588970352
645,66966.87781889332
646,67715.90099958355
647,68412.88631058102
648,69060.9734106363
649,69513.26603988999
650,69800.78789075368
651,70056.57115840545
652,70270.90831748933
653,70396.95331031914
654,70463.12162559363
655,70346.1696419091
656,70036.02010465629
657,69614.2835809946
658,69050.32124008081
659,68555.98935011394
660,68158.06767985856
661,67732.17706879122
662,67338.8545440227
663,66871.14836116334
664,66318.89031456277
665,65788.63134215746
666,65258.29919131263
667,64541.39308601281
668,63635.57257684741
669,62615.902949469906
670,61435.40324641802
671,60230.0908561133
672,59008.137286332145
673,57662.50504372605
674,56222.860853333965
675,54812.96899568453
676,53432.815295895474
677,52044.874925346354
678,50681.38700537939
679,49244.448680442365
680,47731.834496807736
681,46220.79021314324
682,44691.99580189654
683,43093.376241266684
684,41430.13577411361
685,39715.016482559826
686,37936.790052013646
687,36148.191993923276
688,34352.063124482505
689,32513.714451524284
690,30645.48382019963
691,28621.03291495568
692,26424.786473504024
693,24125.522479908785
694,21686.537167908507
695,19172.7865912495
696,16588.615358925505
697,13868.561737754671
698,11024.912617636022
699,8160.000839049733
700,5273.18971569836
701,2322.27833309654
702,-668.146581545601
703,-3776.4922794755103
704,-7008.683294234696
705,-10306.083781896652
706,-13686.917927188708
707,-16665.05434989067
708,-19184.66004785252
709,-21486.606091961163
710,-23428.206304003805
711,-25274.635264888446
712,-27036.861878369084
713,-28451.647073867345
714,-29566.031515107552
715,-30751.247197485838
716,-31998.938457675926
717,-33154.31403331723
718,-34303.0573725003
719,-35147.566578991886
720,-35662.23738874232
721,-36060.56590334924
722,-36270.31868499835
723,-36601.92461958952
724,-37104.89762564238
725,-37576.97760831561
726,-38109.410701063454
727,-38566.25258512217
728,-38931.04705674825
729,-39352.22230941202
730,-39801.70370466823
731,-39966.490161866204
732,-39839.264189997055
733,-39552.07863861063
734,-39025.190564781784
735,-38478.34611092391
736,-37925.41935368551
737,-37189.95584762463
738,-36319.72806500083
739,-35702.75910730338
740,-35357.33617749197
741,-35134.381815253175
742,-35140.11042586892
743,-35107.5659214641
744,-35028.83757966766
745,-35132.28647967109
746,-35366.84825872238
747,-35515.86592707079
748,-35591.66012315126
749,-35667.860455204085
750,-35695.90033337683
751,-35869.664832288276
752,-36202.64889412963
753,-36561.49776237245
754,-36992.37798840792
755,-37169.52629369328
756,-37048.925048851386
757,-36819.27109102375
758,-36385.552928643745
759,-35907.028583178464
760,-35396.85160723498
761,-34690.52665237723
762,-33818.962705836915
763,-33066.65863293192
764,-32434.952129767582
765,-31805.470868945264
766,-31248.084273966426
767,-30551.575218528826
768,-29700.881872841484
769,-28858.018419321037
770,-27974.988827441546
771,-27250.384799079144
772,-26722.064231574335
773,-26262.41567308634
774,-25933.43940146985
775,-25659.284102804093
776,-25433.4195013701
777,-25351.144708406104
778,-25400.10243818145
779,-25377.327679389487
780,-25281.334619004145
781,-25205.060357570484
782,-25099.675732465505
783,-25112.79095771338
784,-25257.773280697354
785,-25422.7284384484
786,-25642.956042516147
787,-25841.774795819536
788,-26000.626520437163
789,-26182.386197532902
790,-26363.037929300724
791,-26563.333332451148
792,-26788.508900837813
793,-27006.84385195267
794,-27222.780644281884
795,-27539.074967785895
796,-27960.173030237853
797,-28439.63651080144
798,-29004.272780485684
799,-29586.945843763213
800,-30183.20206405759
801,-30849.295778455053
802,-31570.86296201012
803,-32119.319754535318
804,-32478.53312098635
805,-32746.03255764875
806,-32857.82338125448
807,-32959.419835589906
808,-33055.93950479322
809,-33017.08478524764
810,-32870.269921764375
811,-32759.514698094525
812,-32678.934786548536
813,-32575.13333440944
814,-32480.950613596877
815,-32273.634209986936
816,-31944.017856580005
817,-31578.322053228752
818,-31147.243482336427
819,-30821.93191612507
820,-30627.074907496124
821,-30459.659715571277
822,-30369.8630627208
823,-30277.282476419903
824,-30174.47575269308
825,-30146.38142604581
826,-30177.2341222154
827,-30110.34139543913
828,-29944.086061473772
829,-29744.266611103878
830,-29472.019115635172
831,-29241.68439033749
832,-29061.263902802286
833,-28841.940424173503
834,-28609.447140649678
835,-28302.25209170922
836,-27904.132110269486
837,-27462.21172419269
838,-26955.99845097778
839,-26399.544429598278
840,-25795.091786918078
841,-25116.29318835876
842,-24364.717699758377
843,-23617.264740287213
844,-22875.451078869675
845,-22101.842503640644
846,-21315.111488422976
847,-20461.93257094267
848,-19537.027071240856
849,-18581.63615781082
850,-17582.882828592257
851,-16551.455483868565
852,-15492.44515548936
853,-14390.978487103614
854,-13250.836394810814
855,-12074.263548946888
856,-10859.706087600583
857,-9609.288677337412
858,-8323.147875580142
859,-6975.23197691308
860,-5563.462315197186
861,-4100.179141947206
862,-2578.159770387154
863,-1012.3057388077251
864,596.5997246504223
865,2262.412301681466
866,3982.260331722108
867,5661.54914504645
868,7292.757921373375
869,8918.625276398006
870,10512.572814533982
871,12132.877787971152
872,13782.032511077428
873,15407.090326543308
874,17019.160686650084
875,18681.709210508983
876,20392.85523908818
877,22128.63303732986
878,23903.83125910806
879,25665.992287118504
880,27411.336496145297
881,29177.527490104152
882,30952.23996199545
883,32802.765281707834
884,34739.39996623491
885,36721.22117235419
886,38768.21320127216
887,40849.90601445187
888,42963.546139875885
889,45142.338534944356
890,47380.49589945877
891,49615.316608520196
892,51846.24115094824
893,54100.125575588274
894,56361.54632308459
895,58676.314377782764
896,61047.86227500877
897,63440.85901042058
898,65865.77688099915
899,68004.03174926034
900,69819.04320474644
901,71467.33866271412
902,72855.21057656556
903,74156.78572744694
904,75378.80283025837
905,76348.17660066768
906,77095.50742696265
907,77862.67878767275
908,78643.75932706817
909,79337.53863523401
910,79999.52901238606
911,80434.84833452456
912,80626.41139844917
913,80713.27955150076
914,80647.86558216692
915,80636.32834735076
916,80711.00105621673
917,80737.60074567028
918,80776.43324746905
919,80736.15914102872
920,80605.56047246675
921,80483.27456852944
922,80350.18820839084
923,79998.8186650227
924,79424.0834993905
925,78712.92144943657
926,77812.25560116161
927,76867.41411299197
928,75887.2573061372
929,74754.60027743354
930,73500.79156549646
931,72385.09633388725
932,71419.5898566028
933,70504.03548229672
934,69709.22958632222
935,68856.57017606431
936,67940.46647375186
937,67113.2978823845
938,66340.67716637494
939,65476.90700435717
940,64529.899502735694
941,63548.89734193278
942,62500.997461456274
943,61515.86497039304
944,60602.26891393946
945,59670.48185882873
946,58751.1573502861
947,57626.24180051353
948,56265.987063782726
949,54796.30163276924
950,53153.37380313754
951,51443.30941437853
952,49674.61473759497
953,47737.06067558532
954,45651.00491555443
955,43606.470571045546
956,41604.07373888632
957,39564.32097329442
958,37533.663954293224
959,35370.54824774982
960,33064.6080832958
961,30723.92158959876
962,28316.098903661725
963,26158.507594913484
964,24295.20630654672
965,22554.165515336703
966,21030.412451670985
967,19567.183954767323
968,18156.273240467082
969,16963.37529349326
970,15961.227031932505
971,14881.301498440389
972,13726.548721412464
973,12613.125360811415
974,11478.03095449715
975,10528.8426590771
976,9783.740451397269
977,9090.733163932684
978,8499.920997506273
979,7833.189612831824
980,7058.946206207028
981,6299.620039592799
982,5502.096127585786
983,4737.94093998763
984,4017.144652986616
985,3256.984468060775
986,2472.2912815384657
987,1855.300121857566
988,1411.4929031127504
989,1058.180256955071
990,844.6267683786708
991,638.3110923570435
992,430.7281596039633
993,329.40163715397375
994,305.6111117920225
995,67.82816450660616
996,-400.5403867019683
997,-982.4716488896073
998,-1758.5474217612054
999,-2534.423915839918
1000,-3303.9663082749667
1001,-4236.555868590929
1002,-5295.275951920302
1003,-6308.803805005609
1004,-7285.719265320002
1005,-8286.643943789011
1006,-9272.916539195829
1007,-10394.721806958405
1008,-11662.881980156772
1009,-12973.235925938756
1010,-14361.618220471188
1011,-15594.104689431297
1012,-16638.310912657926
1013,-17631.827544310436
1014,-18506.32467986869
1015,-19374.525035152423
1016,-20246.197415495284
1017,-21004.016199821875
1018,-21669.978438542832
1019,-22452.23290639976
1020,-23352.262215292812
1021,-24283.209608780464
1022,-25296.426978856485
1023,-26238.497240724715
1024,-27098.60105374646
1025,-27995.07617623935
1026,-28893.225241809065
1027,-29734.549466035187
1028,-30525.96234193337
1029,-31269.839689452645
1030,-31952.350284049273
1031,-32634.83887027244
1032,-33316.716348581635
1033,-33955.16602808731
1034,-34562.030146527235
1035,-35135.2806656831
1036,-35669.41559402334
1037,-36172.76297938427
1038,-36643.017474781824
1039,-37068.00385084752
1040,-37447.23896376338
1041,-37783.92628812182
1042,-38074.59594489936
1043,-38402.07505395381
1044,-38773.78725155925
1045,-39147.4223726766
1046,-39545.95220697202
1047,-39921.38286537
1048,-40270.33935986963
1049,-40636.89185643678
1050,-41011.23481472382
1051,-41332.8743720111
1052,-41602.208189819954
1053,-41841.888421463555
1054,-42037.03965918033
1055,-42234.6008794764
1056,-42437.297200087785
1057,-42609.48398173063
1058,-42761.53965729913
1059,-42876.40699832436
1060,-42948.36808360583
1061,-42992.73295968603
1062,-43003.50523375286
1063,-42981.66713900723
1064,-42927.9348853517
1065,-42836.09376891783
1066,-42705.91249214678
1067,-42561.73250746926
1068,-42404.21565821987
1069,-42220.98227531129
1070,-42017.95844076216
1071,-41778.84327407364
1072,-41501.89377438621
1073,-41199.87108616091
1074,-40868.791007562955
1075,-40504.0299228573
1076,-40106.34192202633
1077,-39674.81154568987
1078,-39208.2933601637
1079,-38711.94879498055
1080,-38185.43353146884
1081,-37625.041535256125
1082,-37031.5912685607
1083,-36402.47228485035
1084,-35736.82642909122
1085,-35036.22231187189
1086,-34299.6367629796
1087,-33527.11886679524
1088,-32718.49101730514
1089,-31872.623597910046
1090,-30989.265754724816
1091,-30140.8193858836
1092,-29334.268562787358
1093,-28535.294733864866
1094,-27764.662925339046
1095,-26980.219307352894
1096,-26180.154737020777
1097,-25404.33361695375
1098,-24644.948554705217
1099,-23850.033059345827
1100,-23020.89345928159
1101,-22178.176462505115
1102,-21309.80433095464
1103,-20457.982290485015
1104,-19626.022609318446
1105,-18783.571164756766
1106,-17940.685583212384
1107,-17048.290835045904
1108,-16098.702637180171
1109,-15122.682957123276
1110,-14105.70112156433
1111,-13069.59577778506
1112,-12016.609984793033
1113,-10922.852512612768
1114,-9792.605961856398
1115,-8673.251674255744
1116,-7565.5052560165
1117,-6449.168109108575
1118,-5336.067917553578
1119,-4192.173107669971
1120,-3015.088932869998
1121,-1831.5047798014166
1122,-633.7922295068493
1123,627.4870672253185
1124,1954.3901138670965
1125,3329.207034751069
1126,4765.518107755241
1127,6228.626207120608
1128,7717.82801903967
1129,9262.722286410226
1130,10856.838509959445
1131,12474.59491581867
1132,14117.945058524576
1133,15795.49294671245
1134,17501.75902618375
1135,19260.72319561941
1136,21074.23388502457
1137,22926.40847404454
1138,24823.146308959836
1139,26721.610944466
1140,28616.383966850743
1141,30532.328705440454
1142,32457.159741784744
1143,34412.50663249982
1144,36400.31973088634
1145,38398.9606571523
1146,40412.82154419108
1147,42479.120637946435
1148,44598.20890234473
1149,46755.024477360435
1150,48958.86770889126
1151,51182.373620546496
1152,53423.81753505826
1153,55704.544420289916
1154,58018.513203278504
1155,60091.02766392301
1156,61896.28044266011
1157,63558.45191409751
1158,64998.21050607988
1159,66377.9927061152
1160,67702.94762276152
1161,68819.31609155348
1162,69756.16057857653
1163,70702.88752789816
1164,71652.63932165102
1165,72529.39634686724
1166,73375.93264409597
1167,74034.07860548826
1168,74490.29219347717
1169,74855.3156634208
1170,75090.38820502294
1171,75391.77820061849
1172,75788.04761898826
1173,76156.28564761464
1174,76553.44721643317
1175,76888.05075558863
1176,77149.971638038
1177,77434.9851186644
1178,77724.11289153511
1179,77829.41867112808
1180,77747.15571722246
1181,77555.0830124879
1182,77205.43413512979
1183,76831.87080060576
1184,76442.56559426963
1185,75930.80195011989
1186,75325.58278897808
1187,74822.84662293269
1188,74429.7198338087
1189,74074.23168164353
1190,73809.37954357074
1191,73495.78521294711
1192,73129.45151252447
1193,72827.17512182645
1194,72562.00785680418
1195,72230.19428390915
1196,71838.29036099104
1197,71419.71849667393
1198,70951.29054160925
1199,70527.75814724407
1200,70155.33370494316
1201,69769.2101059804
1202,69391.79327955266
1203,68850.48817963326
1204,68122.40030032345
1205,67305.80845709778
1206,66350.34827132836
1207,65341.348791966
1208,64285.405795966166
1209,63094.73450283047
1210,61785.699005650844
1211,60506.06352730492
1212,59256.029748031
1213,57974.097079593266
1214,56696.285604104654
1215,55311.8637165972
1216,53812.72097162021
1217,52283.08420329514
1218,50697.567991633
1219,49246.83160722113
1220,47959.29412608338
1221,46727.208358765405
1222,45608.049145796744
1223,44511.978796371994
1224,43433.58880584509
1225,42470.58115402475
1226,41607.35102680748
1227,40675.20809220245
1228,39675.068480276444
1229,38680.693609671565
1230,37652.12317428037
1231,36717.54235842458
1232,35888.10435974787
1233,35068.86244158592
1234,34290.55257795553
1235,33453.63775492968
1236,32539.260353485126
1237,31617.74072698624
1238,30659.032222196958
1239,29700.725490566354
1240,28748.427159650088
1241,27756.659358526842
1242,26733.109506095832
1243,25789.127347681904
1244,24928.049321778923
1245,24101.25757174426
1246,23337.26411212927
1247,22559.817343396997
1248,21763.834638290202
1249,21011.261124350236
1250,20285.479144678466
1251,19403.610504327207
1252,18354.510072603258
1253,17212.45646495317
1254,15926.634049529817
1255,14617.392456212032
1256,13288.477583454234
1257,11834.047309107558
1258,10276.792438110793
1259,8725.735422587899
1260,7175.498096686084
1261,5586.833331708918
1262,3984.2842624583363
1263,2272.637384237265
1264,444.8245325136333
1265,-1433.1841633560032
1266,-3384.23032589768
1267,-5264.269247860048
1268,-7053.306506947716
1269,-8836.7698183419
1270,-10572.661167762211
1271,-12330.230788034307
1272,-14115.716697975195
1273,-15857.125777052472
1274,-17568.114496154652
1275,-19377.996299883314
1276,-21287.94627794085
1277,-23244.151035546874
1278,-25278.672738314155
1279,-27296.697165169713
1280,-29291.69778491612
1281,-31337.210245096183
1282,-33411.93853377533
1283,-35268.95224025074
1284,-36891.03247396311
1285,-38378.41950818402
1286,-39661.30898571602
1287,-40898.55103918747
1288,-42094.033548681575
1289,-43104.77956249229
1290,-43959.67349158988
1291,-44808.760350170895
1292,-45643.998371825066
1293,-46408.84069998377
1294,-47136.332037056134
1295,-47694.64627787369
1296,-48072.81622027389
1297,-48360.691089874395
